# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uz_initial      	Uz_final        	Uz_iters        	U_converged     	e_solver        	e_initial       	e_final         	e_iters         	e_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1.20048e-08     	smoothSolver	9.99999960e-01	3.01579460e-08	1	1.00000000e+00	5.97759910e-13	1	false	smoothSolver	9.99863930e-01	1.44656760e-08	1	true	DILUPBiCGStab	1.00000000e+00	1.57776980e-11	1	true	DILUPBiCGStab	1.00280140e-07	1.00280140e-07	0	true	GAMG	9.99999980e-01	1.09165900e-09	1	true
2.64175e-08     	smoothSolver	1.45807420e-02	3.72233820e-10	1	3.75110870e-01	8.99831320e-13	1	false	smoothSolver	1.49737630e-02	1.86563290e-10	1	true	DILUPBiCGStab	1.25810090e-01	3.70466570e-12	1	true	DILUPBiCGStab	1.10613290e-07	1.10613290e-07	0	true	GAMG	1.49541740e-02	1.68799940e-11	1	true
4.37027e-08     	smoothSolver	8.00746290e-03	1.63421720e-10	1	3.02952630e-01	1.05036780e-12	1	false	smoothSolver	8.20942630e-03	8.74062660e-11	1	true	DILUPBiCGStab	7.27178290e-02	3.06879150e-12	1	true	DILUPBiCGStab	1.32557090e-07	1.32557090e-07	0	true	GAMG	8.20366900e-03	7.07060690e-12	1	true
6.4445e-08      	smoothSolver	5.82837470e-03	9.50788800e-11	1	2.61294120e-01	1.30802600e-12	1	false	smoothSolver	5.96859900e-03	5.08349160e-11	1	true	DILUPBiCGStab	5.38151610e-02	3.27480840e-12	1	true	DILUPBiCGStab	1.58933320e-07	1.58933320e-07	0	true	GAMG	5.96517000e-03	4.02126810e-12	1	true
8.93462e-08     	smoothSolver	4.75672110e-03	6.30674970e-11	1	2.34512570e-01	1.69578630e-12	1	false	smoothSolver	4.86603330e-03	3.56965480e-11	1	true	DILUPBiCGStab	4.42472080e-02	3.87765820e-12	1	true	DILUPBiCGStab	1.90608750e-07	1.90608750e-07	0	true	GAMG	4.86319210e-03	2.42447250e-12	1	true
1.19198e-07     	smoothSolver	4.12191740e-03	4.39849520e-11	1	2.15818080e-01	2.24797790e-12	1	false	smoothSolver	4.21242150e-03	2.54810310e-11	1	true	DILUPBiCGStab	3.84832410e-02	4.84724710e-12	1	true	DILUPBiCGStab	2.28227160e-07	2.28227160e-07	0	true	GAMG	4.20962230e-03	2.26383590e-12	1	true
1.54998e-07     	smoothSolver	3.71279140e-03	3.09467550e-11	1	2.02430020e-01	3.01032750e-12	1	false	smoothSolver	3.79067680e-03	1.92713870e-11	1	true	DILUPBiCGStab	3.47208430e-02	6.30322010e-12	1	true	DILUPBiCGStab	2.73253260e-07	2.73253260e-07	0	true	GAMG	3.78765130e-03	1.40904820e-12	1	true
1.97989e-07     	smoothSolver	3.43551950e-03	2.28569490e-11	1	1.92675940e-01	3.91393410e-12	1	false	smoothSolver	3.50439120e-03	1.50287460e-11	1	true	DILUPBiCGStab	3.21405710e-02	8.42118880e-12	1	true	DILUPBiCGStab	3.27335710e-07	3.27335710e-07	0	true	GAMG	3.50095470e-03	1.25893660e-12	1	true
2.49578e-07     	smoothSolver	3.23364090e-03	1.70200790e-11	1	1.85117110e-01	4.98332900e-12	1	false	smoothSolver	3.29578780e-03	1.15780300e-11	1	true	DILUPBiCGStab	3.02411790e-02	1.14076260e-11	1	true	DILUPBiCGStab	3.91607140e-07	3.91607140e-07	0	true	GAMG	3.29178120e-03	9.00499190e-13	1	true
3.1129e-07      	smoothSolver	3.07430270e-03	1.25531720e-11	1	1.78780290e-01	6.22197380e-12	1	false	smoothSolver	3.13125720e-03	9.08156320e-12	1	true	DILUPBiCGStab	2.87272200e-02	1.55019080e-11	1	true	DILUPBiCGStab	4.66718940e-07	4.66718940e-07	0	true	GAMG	3.12652630e-03	8.46640210e-13	1	true
3.85249e-07     	smoothSolver	2.95941310e-03	9.43468100e-12	1	1.74082250e-01	7.81414970e-12	1	false	smoothSolver	3.01263470e-03	7.28990690e-12	1	true	DILUPBiCGStab	2.76173330e-02	2.14378100e-11	1	true	DILUPBiCGStab	5.56904130e-07	5.56904130e-07	0	true	GAMG	3.00698690e-03	5.01390450e-13	1	true
4.74275e-07     	smoothSolver	2.88313460e-03	7.10642660e-12	1	1.70948360e-01	9.97824550e-12	1	false	smoothSolver	2.93414240e-03	5.91458950e-12	1	true	DILUPBiCGStab	2.68608390e-02	3.02888870e-11	1	true	DILUPBiCGStab	6.66851930e-07	6.66851930e-07	0	true	GAMG	2.92733070e-03	5.16825610e-13	1	true
5.74546e-07     	smoothSolver	2.64185780e-03	5.40485870e-12	1	1.59288950e-01	1.06042470e-11	1	false	smoothSolver	2.68866820e-03	4.72797620e-12	1	true	DILUPBiCGStab	2.46075910e-02	3.52543900e-11	1	true	DILUPBiCGStab	7.46766950e-07	7.46766950e-07	0	true	GAMG	2.68089580e-03	3.92224470e-13	1	true
6.74817e-07     	smoothSolver	2.18601080e-03	4.05741120e-12	1	1.35806490e-01	8.19543990e-12	1	false	smoothSolver	2.22304280e-03	3.97241780e-12	1	true	DILUPBiCGStab	2.03779390e-02	2.92524130e-11	1	true	DILUPBiCGStab	7.42591080e-07	7.42591080e-07	0	true	GAMG	2.21513790e-03	3.62453510e-13	1	true
7.75087e-07     	smoothSolver	1.86811950e-03	3.17680220e-12	1	1.18678500e-01	6.61774590e-12	1	false	smoothSolver	1.89495740e-03	3.39851960e-12	1	true	DILUPBiCGStab	1.73843220e-02	2.49546500e-11	1	true	DILUPBiCGStab	7.38432500e-07	7.38432500e-07	0	true	GAMG	1.88703040e-03	2.74229770e-13	1	true
8.75358e-07     	smoothSolver	1.63280550e-03	2.55664090e-12	1	1.05536120e-01	5.51580990e-12	1	false	smoothSolver	1.65121470e-03	2.97390120e-12	1	true	DILUPBiCGStab	1.51540130e-02	2.17239480e-11	1	true	DILUPBiCGStab	7.34273490e-07	7.34273490e-07	0	true	GAMG	1.64328930e-03	2.64868500e-13	1	true
