# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uz_initial      	Uz_final        	Uz_iters        	U_converged     	e_solver        	e_initial       	e_final         	e_iters         	e_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1.2e-09         	smoothSolver	9.99939590e-01	4.48337370e-05	1000	1.00000000e+00	5.99709000e-15	1	false	smoothSolver	9.99892710e-01	1.19315420e-08	1	true	DILUPBiCGStab	1.00000000e+00	3.43202990e-11	1	true	DILUPBiCGStab	8.05842030e-08	8.05842030e-08	0	true	GAMG	9.99999980e-01	9.88179960e-10	1	true
2.64e-09        	smoothSolver	1.18376000e-05	3.50107040e-10	1	3.74994850e-01	5.89329800e-15	1	false	smoothSolver	1.49251410e-02	1.46610230e-10	1	true	DILUPBiCGStab	2.05502340e-02	9.79190200e-13	1	true	DILUPBiCGStab	9.57338730e-08	9.57338730e-08	0	true	GAMG	1.49236290e-02	1.19936860e-11	1	true
4.368e-09       	smoothSolver	8.23287530e-06	1.57723280e-10	1	3.01687730e-01	7.00524170e-15	1	false	smoothSolver	8.19666000e-03	6.80066910e-11	1	true	DILUPBiCGStab	1.13150440e-02	7.76405650e-13	1	true	DILUPBiCGStab	1.14883120e-07	1.14883120e-07	0	true	GAMG	8.19520390e-03	5.62690810e-12	1	true
6.4416e-09      	smoothSolver	7.51641040e-06	9.68909110e-11	1	2.60226860e-01	8.77533900e-15	1	false	smoothSolver	5.95862170e-03	4.10229550e-11	1	true	DILUPBiCGStab	8.23240210e-03	8.13441550e-13	1	true	DILUPBiCGStab	1.37863350e-07	1.37863350e-07	0	true	GAMG	5.95686800e-03	4.02594130e-12	1	true
8.92992e-09     	smoothSolver	7.62467550e-06	6.62225820e-11	1	2.33636020e-01	1.13831800e-14	1	false	smoothSolver	4.85441980e-03	2.77252500e-11	1	true	DILUPBiCGStab	6.70938470e-03	9.54676050e-13	1	true	DILUPBiCGStab	1.65441250e-07	1.65441250e-07	0	true	GAMG	4.85227870e-03	2.54025080e-12	1	true
1.19159e-08     	smoothSolver	8.22872960e-06	4.55279700e-11	1	2.15346880e-01	1.51800990e-14	1	false	smoothSolver	4.20530570e-03	1.98138600e-11	1	true	DILUPBiCGStab	5.81335110e-03	1.19116460e-12	1	true	DILUPBiCGStab	1.98537030e-07	1.98537030e-07	0	true	GAMG	4.20269880e-03	2.09679800e-12	1	true
1.54991e-08     	smoothSolver	9.30615570e-06	3.48510540e-11	1	2.02175690e-01	2.05800490e-14	1	false	smoothSolver	3.78394230e-03	1.49247240e-11	1	true	DILUPBiCGStab	5.23134280e-03	1.54358800e-12	1	true	DILUPBiCGStab	2.38255510e-07	2.38255510e-07	0	true	GAMG	3.78077950e-03	1.28914180e-12	1	true
1.97989e-08     	smoothSolver	1.07542630e-05	2.73156870e-11	1	1.92376890e-01	2.82567670e-14	1	false	smoothSolver	3.49258990e-03	1.12433360e-11	1	true	DILUPBiCGStab	4.82867000e-03	2.05173920e-12	1	true	DILUPBiCGStab	2.85922290e-07	2.85922290e-07	0	true	GAMG	3.48876400e-03	1.04693090e-12	1	true
2.49587e-08     	smoothSolver	1.25856390e-05	2.12043030e-11	1	1.84910030e-01	3.91591180e-14	1	false	smoothSolver	3.28225920e-03	8.98457420e-12	1	true	DILUPBiCGStab	4.53777460e-03	2.77661770e-12	1	true	DILUPBiCGStab	3.43127980e-07	3.43127980e-07	0	true	GAMG	3.27764120e-03	7.41169220e-13	1	true
3.11504e-08     	smoothSolver	1.48344600e-05	1.66789260e-11	1	1.79116330e-01	5.46855230e-14	1	false	smoothSolver	3.12570140e-03	6.98780720e-12	1	true	DILUPBiCGStab	4.32105590e-03	3.80752140e-12	1	true	DILUPBiCGStab	4.11784340e-07	4.11784340e-07	0	true	GAMG	3.12013630e-03	6.07898110e-13	1	true
